2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Users\\nicko\\pythonProject22\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BOD_BLAR.TTF', name='Bodoni MT', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\Raleway-Medium.ttf', name='Raleway', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\TCB_____.TTF', name='Tw Cen MT', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\impact.ttf', name='Impact', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\PAPYRUS.TTF', name='Papyrus', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\CormorantInfant-Bold.ttf', name='Cormorant Infant', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\SCHLBKB.TTF', name='Century Schoolbook', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\LBRITEI.TTF', name='Lucida Bright', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\NotoSans-Regular.ttf', name='Noto Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\BOD_CBI.TTF', name='Bodoni MT', style='italic', variant='normal', weight=700, stretch='condensed', size='scalable')) = 11.535
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\Montserrat-ThinItalic.ttf', name='Montserrat', style='italic', variant='normal', weight=250, stretch='normal', size='scalable')) = 11.1925
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\ZillaSlab-BoldItalic.ttf', name='Zilla Slab', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\GILC____.TTF', name='Gill Sans MT Condensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\SegoeIcons.ttf', name='Segoe Fluent Icons', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Lato-Light.ttf', name='Lato', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\cambriab.ttf', name='Cambria', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BRLNSDB.TTF', name='Berlin Sans FB Demi', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\arial.ttf', name='Arial', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 6.413636363636363
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\mmrtextb.ttf', name='Myanmar Text', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Lato-BlackItalic.ttf', name='Lato', style='italic', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.525
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\RobotoSlab-Light.ttf', name='Roboto Slab', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2024-03-18 07:07:16 [DEBUG]: findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BarlowCondensed-ExtraBold.ttf', name='Barlow Condensed', style='normal', variant='normal', weight=800, stretch='condensed', size='scalable')) = 10.629999999999999
